loss,IoU,MA_IoU,accuracy,MA_accuracy,precision,MA_precision,recall,MA_recall,F1_score,MA_F1_score
0.5476466417312622,"[0.7063107490539551, 0.8122633099555969, 0.2880682647228241, 0.7121543288230896, 0.7146453261375427, 0.4727296233177185, 0.3616638779640198]",0.5811194181442261,"[0.956833004951477, 0.8826187252998352, 0.9046893119812012, 0.9629579782485962, 0.9884658455848694, 0.9452683925628662, 0.9994643926620483]",0.9486140012741089,"[0.7672057151794434, 0.9106938242912292, 0.421458899974823, 0.8542612195014954, 0.8363983035087585, 0.6713100671768188, 0.5052195191383362]",0.7095068097114563,"[0.8989765644073486, 0.8825626969337463, 0.47648802399635315, 0.8106434345245361, 0.8307766318321228, 0.6151009798049927, 0.5600168704986572]",0.7249379754066467,"[0.8278805613517761, 0.8964076042175293, 0.44728726148605347, 0.8318809866905212, 0.8335779905319214, 0.6419774889945984, 0.5312087535858154]",0.7171394228935242
0.5427916646003723,"[0.7078335881233215, 0.8125355839729309, 0.2895928621292114, 0.7177202701568604, 0.7122867107391357, 0.47527438402175903, 0.3523659110069275]",0.5810869932174683,"[0.9571005702018738, 0.8829521536827087, 0.9047015905380249, 0.9638255834579468, 0.9882681965827942, 0.9454066157341003, 0.9994717836380005]",0.9488180875778198,"[0.7682583332061768, 0.9120323657989502, 0.4219971299171448, 0.858988881111145, 0.8286546468734741, 0.67081218957901, 0.5121657848358154]",0.7104156613349915,"[0.8999959230422974, 0.8816297650337219, 0.47997549176216125, 0.8135762810707092, 0.8353146314620972, 0.6198407411575317, 0.5303728580474854]",0.722957968711853,"[0.8289256691932678, 0.8965734243392944, 0.4491228759288788, 0.8356660008430481, 0.8319713473320007, 0.6443199515342712, 0.5211103558540344]",0.7166318893432617
0.533358097076416,"[0.7082199454307556, 0.8158866167068481, 0.2975389063358307, 0.723684549331665, 0.7181084752082825, 0.48196154832839966, 0.34944260120391846]",0.5849775671958923,"[0.9571499228477478, 0.8853672742843628, 0.9068764448165894, 0.9645718336105347, 0.9885132908821106, 0.9460490942001343, 0.9994399547576904]",0.9497097134590149,"[0.7682422399520874, 0.9150179624557495, 0.43309536576271057, 0.8595307469367981, 0.8303537964820862, 0.6731763482093811, 0.4853816628456116]",0.7092568874359131,"[0.9006429314613342, 0.8827794194221497, 0.48734256625175476, 0.8207538723945618, 0.8415799140930176, 0.6291843056678772, 0.5551034808158875]",0.7310553193092346,"[0.8291905522346497, 0.8986096382141113, 0.45862042903900146, 0.8396948575973511, 0.8359292149543762, 0.6504373550415039, 0.5179065465927124]",0.7199912071228027
0.528358519077301,"[0.7111703753471375, 0.8155239224433899, 0.30386415123939514, 0.7250909805297852, 0.715896725654602, 0.4886051118373871, 0.32270655035972595]",0.5832654237747192,"[0.9577441215515137, 0.8850976824760437, 0.9079944491386414, 0.9648111462593079, 0.9884021282196045, 0.9469323754310608, 0.9993953108787537]",0.9500539302825928,"[0.7714795470237732, 0.9146227836608887, 0.43944308161735535, 0.8612724542617798, 0.8284375071525574, 0.6787771582603455, 0.45086589455604553]",0.7064141035079956,"[0.9009640216827393, 0.8827226161956787, 0.496194988489151, 0.8209745287895203, 0.8405071496963501, 0.6355643272399902, 0.5316784381866455]",0.7298008799552917,"[0.8312093019485474, 0.8983895778656006, 0.4660978615283966, 0.8406408429145813, 0.8344287276268005, 0.6564603447914124, 0.48794883489608765]",0.7179170846939087
0.523544430732727,"[0.7105693221092224, 0.8191299438476562, 0.3076021671295166, 0.725972056388855, 0.716500461101532, 0.48873960971832275, 0.3769789934158325]",0.5922132730484009,"[0.9576306939125061, 0.887576699256897, 0.9087043404579163, 0.9649466276168823, 0.9883796572685242, 0.9470385313034058, 0.9995009303092957]",0.9505396485328674,"[0.7709329724311829, 0.9169272780418396, 0.4433803856372833, 0.8620028495788574, 0.8252579569816589, 0.6801007986068726, 0.5382071137428284]",0.7195442318916321,"[0.900744616985321, 0.8847925066947937, 0.5011143088340759, 0.8214399218559265, 0.8446444869041443, 0.6346349716186523, 0.5572126507759094]",0.7349405884742737,"[0.8307986259460449, 0.9005733132362366, 0.47048279643058777, 0.8412327170372009, 0.8348386883735657, 0.656581699848175, 0.5475450158119202]",0.7271608710289001
0.5173370242118835,"[0.7114089131355286, 0.8183675408363342, 0.31053397059440613, 0.7271023988723755, 0.7207896113395691, 0.4990108907222748, 0.36355501413345337]",0.5929669141769409,"[0.9578239917755127, 0.8871538043022156, 0.9091454148292542, 0.9650511741638184, 0.9886120557785034, 0.9482073783874512, 0.9994755387306213]",0.9507814049720764,"[0.7722432017326355, 0.9172859787940979, 0.44595831632614136, 0.8611544370651245, 0.8301317095756531, 0.6860765814781189, 0.514973521232605]",0.7182605862617493,"[0.900306761264801, 0.8835700154304504, 0.5055873394012451, 0.8236619830131531, 0.8454948663711548, 0.6466627717018127, 0.5528625249862671]",0.7368780374526978,"[0.8313722014427185, 0.9001123905181885, 0.47390449047088623, 0.8419910669326782, 0.8377429246902466, 0.665786862373352, 0.533245861530304]",0.7274501919746399
0.5146520137786865,"[0.7118214964866638, 0.8203169107437134, 0.3131774663925171, 0.7274123430252075, 0.7213479280471802, 0.5018622875213623, 0.3676346242427826]",0.5947961807250977,"[0.9578770399093628, 0.8883301019668579, 0.910478413105011, 0.9651538133621216, 0.9886279106140137, 0.9485583901405334, 0.9994637966156006]",0.9512127637863159,"[0.7722318768501282, 0.9171704053878784, 0.4524264931678772, 0.8628352880477905, 0.8297407627105713, 0.6880977153778076, 0.5046119689941406]",0.7181592583656311,"[0.9009829759597778, 0.8859505653381348, 0.5043439269065857, 0.8225265145301819, 0.8466699719429016, 0.6496474742889404, 0.5752511024475098]",0.7407675385475159,"[0.8316537737846375, 0.901290237903595, 0.4769766330718994, 0.8421987891197205, 0.8381199240684509, 0.6683200001716614, 0.5376210808753967]",0.7292881608009338
0.5103756785392761,"[0.7132443785667419, 0.8218514919281006, 0.3198646306991577, 0.7320438623428345, 0.7249743938446045, 0.5068274140357971, 0.36825016140937805]",0.5981509685516357,"[0.9581291675567627, 0.8894391059875488, 0.9115437269210815, 0.9657782316207886, 0.9888234734535217, 0.9492597579956055, 0.9994533061981201]",0.951775312423706,"[0.7732802629470825, 0.9186452031135559, 0.458557665348053, 0.8644359111785889, 0.8339136242866516, 0.6929160952568054, 0.4962920546531677]",0.719720184803009,"[0.9018337726593018, 0.8863634467124939, 0.5139877796173096, 0.8269829750061035, 0.8473182916641235, 0.6536451578140259, 0.588026762008667]",0.7454512119293213,"[0.8326241970062256, 0.9022156596183777, 0.48469310998916626, 0.8452947735786438, 0.8405625224113464, 0.6727079749107361, 0.5382789373397827]",0.7323598265647888
0.5133825540542603,"[0.7127794623374939, 0.8199983239173889, 0.3144332766532898, 0.7308380007743835, 0.7186846137046814, 0.5005447268486023, 0.3094119131565094]",0.5866701006889343,"[0.9581031203269958, 0.8882020115852356, 0.9099679589271545, 0.965694785118103, 0.9884520173072815, 0.948478639125824, 0.9993615746498108]",0.951180100440979,"[0.7738298773765564, 0.9177353382110596, 0.45039820671081543, 0.8661088347434998, 0.8245066404342651, 0.6883318424224854, 0.4277951121330261]",0.706957995891571,"[0.9003454446792603, 0.8850529789924622, 0.5101866126060486, 0.823924720287323, 0.8484755158424377, 0.6472342014312744, 0.5278799533843994]",0.7347285747528076,"[0.8323073983192444, 0.9010979533195496, 0.478431761264801, 0.8444903492927551, 0.8363193273544312, 0.6671506762504578, 0.4725967347621918]",0.720575749874115
0.5036930441856384,"[0.7158209681510925, 0.8240981698036194, 0.3233754336833954, 0.7389131188392639, 0.7275899052619934, 0.51279616355896, 0.30684730410575867]",0.5927772521972656,"[0.9586907029151917, 0.8910784125328064, 0.9121378660202026, 0.9666346907615662, 0.9889088273048401, 0.9499337673187256, 0.9993616342544556]",0.9523923397064209,"[0.7768919467926025, 0.9209913611412048, 0.46191084384918213, 0.8649675250053406, 0.8328720927238464, 0.6962783336639404, 0.4271177053451538]",0.7115757465362549,"[0.9010493755340576, 0.8867911696434021, 0.5188172459602356, 0.8352639675140381, 0.8519803285598755, 0.6605520844459534, 0.5214648246765137]",0.7394170165061951,"[0.8343771696090698, 0.9035677313804626, 0.4887130558490753, 0.8498561978340149, 0.8423178791999817, 0.6779448986053467, 0.46959933638572693]",0.7252292633056641
